Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
43,2,0.07753225120902062,0.49,0.555,0.06575912679402379
44,2,0.07753225120902062,0.49,0.555,0.25571419356863223
45,2,0.07753225120902062,0.49,0.555,0.09262303375359103
46,2,0.07753225120902062,0.49,0.555,0.23975649195125442
47,2,0.07753225120902062,0.49,0.555,0.18723129717475956
48,2,0.07753225120902062,0.49,0.555,0.11148366042913188
49,2,0.07753225120902062,0.49,0.555,0.3401326667700172
50,2,0.07753225120902062,0.49,0.555,0.3723012283773138
51,2,0.07753225120902062,0.49,0.555,0.0799264033506656
52,2,0.07753225120902062,0.49,0.555,0.08701930146206456
53,2,0.07753225120902062,0.49,0.555,0.0757024265608383
54,2,0.07753225120902062,0.49,0.555,0.0945048785621658
55,2,0.07753225120902062,0.49,0.555,0.25674404236257337
56,2,0.07753225120902062,0.49,0.555,0.1745316844166431
57,2,0.07753225120902062,0.49,0.555,0.1448267040925888
58,2,0.07753225120902062,0.49,0.555,0.1601046135078408
59,2,0.07753225120902062,0.49,0.555,0.05875676201540087
60,2,0.07753225120902062,0.49,0.555,0.09457903524810826
61,2,0.07753225120902062,0.49,0.555,0.1908428445300178
62,2,0.07753225120902062,0.49,0.555,0.0838086627950674
63,2,0.07753225120902062,0.49,0.555,0.4353565604140572
64,3,0.06751391363143922,0.562,0.615,0.0987033676978885
65,3,0.06751391363143922,0.562,0.615,0.12546937992117976
66,3,0.06751391363143922,0.562,0.615,0.34966885804894465
67,3,0.06751391363143922,0.562,0.615,0.10918014702823232
68,3,0.06751391363143922,0.562,0.615,0.08755640361703881
69,3,0.06751391363143922,0.562,0.615,0.11728167212233268
70,3,0.06751391363143922,0.562,0.615,0.1000121749900311
71,3,0.06751391363143922,0.562,0.615,0.3261095084394696
72,3,0.06751391363143922,0.562,0.615,0.08912478372387057
73,3,0.06751391363143922,0.562,0.615,0.14770629205777855
74,3,0.06751391363143922,0.562,0.615,0.09095460313744874
75,3,0.06751391363143922,0.562,0.615,0.11411789622532095
76,3,0.06751391363143922,0.562,0.615,0.1099281561691122
77,3,0.06751391363143922,0.562,0.615,0.06117651799524728
78,3,0.06751391363143922,0.562,0.615,0.2783017152214029
79,3,0.06751391363143922,0.562,0.615,0.09105410225904065
80,3,0.06751391363143922,0.562,0.615,0.15988878311232024
81,3,0.06751391363143922,0.562,0.615,0.15828919634235625
82,3,0.06751391363143922,0.562,0.615,0.3391227310082348
83,3,0.06751391363143922,0.562,0.615,0.22484026650615163
84,3,0.06751391363143922,0.562,0.615,0.39989483102634427
85,3,0.06751391363143922,0.562,0.615,0.1843545854192044
86,3,0.06751391363143922,0.562,0.615,0.06722396200158612
87,3,0.06751391363143922,0.562,0.615,0.10879970322760199
88,3,0.06751391363143922,0.562,0.615,0.04246715880744698
89,3,0.06751391363143922,0.562,0.615,0.03913817446990143
90,3,0.06751391363143922,0.562,0.615,0.2157104219758592
91,3,0.06751391363143922,0.562,0.615,0.24261254958016246
92,3,0.06751391363143922,0.562,0.615,0.02607646531422435
93,3,0.06751391363143922,0.562,0.615,0.08701578262343918
94,3,0.06751391363143922,0.562,0.615,0.04074340776071081
95,3,0.06751391363143922,0.562,0.615,0.17630899439684586
96,4,0.060712036550045013,0.579,0.635,0.10043587254693492
97,4,0.060712036550045013,0.579,0.635,0.035906894134877736
98,4,0.060712036550045013,0.579,0.635,0.12976151951677933
