Iteration,Epoch,Training Loss,Training Accuracy,Test Accuracy,Gradient Norm
0,1,0.08894524127244949,0.433,0.495,2.591719909902231
1,1,0.08894524127244949,0.433,0.495,3.4926302260617827
2,1,0.08894524127244949,0.433,0.495,3.1372084392251742
3,1,0.08894524127244949,0.433,0.495,1.7445126446270203
4,1,0.08894524127244949,0.433,0.495,1.6295080102175123
5,1,0.08894524127244949,0.433,0.495,1.4031899049081127
6,1,0.08894524127244949,0.433,0.495,0.5153704271072821
7,1,0.08894524127244949,0.433,0.495,1.350105337033884
8,1,0.08894524127244949,0.433,0.495,0.6299953200123624
9,1,0.08894524127244949,0.433,0.495,0.6987743127099223
10,1,0.08894524127244949,0.433,0.495,0.36769576707206214
11,1,0.08894524127244949,0.433,0.495,0.6899556249981127
12,1,0.08894524127244949,0.433,0.495,0.04478480572899058
13,1,0.08894524127244949,0.433,0.495,0.6704616202439337
14,1,0.08894524127244949,0.433,0.495,1.1134305413478631
15,1,0.08894524127244949,0.433,0.495,1.2190550873066546
16,1,0.08894524127244949,0.433,0.495,1.2506861869027992
17,1,0.08894524127244949,0.433,0.495,1.3161135242476174
18,1,0.08894524127244949,0.433,0.495,0.6150768349042302
19,1,0.08894524127244949,0.433,0.495,0.9863800879480707
20,1,0.08894524127244949,0.433,0.495,1.3037844413291966
21,1,0.08894524127244949,0.433,0.495,1.2520810739797434
22,1,0.08894524127244949,0.433,0.495,0.23771956418224383
23,1,0.08894524127244949,0.433,0.495,0.6503380254470401
24,1,0.08894524127244949,0.433,0.495,0.3011981602423651
25,1,0.08894524127244949,0.433,0.495,0.32736610720204723
26,1,0.08894524127244949,0.433,0.495,0.20338228060693403
27,1,0.08894524127244949,0.433,0.495,0.46117392281927316
28,1,0.08894524127244949,0.433,0.495,0.815558181357347
29,1,0.08894524127244949,0.433,0.495,0.6892229974647256
30,1,0.08894524127244949,0.433,0.495,0.5005697638635984
31,1,0.08894524127244949,0.433,0.495,1.7134805501225507
32,2,0.06286110508441925,0.5,0.525,0.5293046701182267
33,2,0.06286110508441925,0.5,0.525,0.9825237355932943
34,2,0.06286110508441925,0.5,0.525,0.33873660019860985
35,2,0.06286110508441925,0.5,0.525,0.2642190798027251
36,2,0.06286110508441925,0.5,0.525,0.343948507542737
37,2,0.06286110508441925,0.5,0.525,0.7427686622102155
38,2,0.06286110508441925,0.5,0.525,0.36358167087167453
39,2,0.06286110508441925,0.5,0.525,0.2641198011499304
40,2,0.06286110508441925,0.5,0.525,0.2074667845736111
41,2,0.06286110508441925,0.5,0.525,0.3413413114054448
42,2,0.06286110508441925,0.5,0.525,0.24021880369463486
43,2,0.06286110508441925,0.5,0.525,0.49294399133371763
44,2,0.06286110508441925,0.5,0.525,0.06129142352257358
45,2,0.06286110508441925,0.5,0.525,0.5616309311112111
46,2,0.06286110508441925,0.5,0.525,0.5667351906766391
47,2,0.06286110508441925,0.5,0.525,0.4132546742282992
48,2,0.06286110508441925,0.5,0.525,0.3355554055445839
49,2,0.06286110508441925,0.5,0.525,0.18959021123500164
50,2,0.06286110508441925,0.5,0.525,0.09306679414825926
51,2,0.06286110508441925,0.5,0.525,0.14938447129426574
52,2,0.06286110508441925,0.5,0.525,0.12156261457031026
53,2,0.06286110508441925,0.5,0.525,0.25341431034538936
54,2,0.06286110508441925,0.5,0.525,0.9169817207146731
55,2,0.06286110508441925,0.5,0.525,0.6604218469688186
56,2,0.06286110508441925,0.5,0.525,0.4640529268477459
57,2,0.06286110508441925,0.5,0.525,0.33855641336075837
58,2,0.06286110508441925,0.5,0.525,0.46913900363203104
59,2,0.06286110508441925,0.5,0.525,1.0291638033381874
60,2,0.06286110508441925,0.5,0.525,0.12378342949580311
61,2,0.06286110508441925,0.5,0.525,0.7459153034262067
62,2,0.06286110508441925,0.5,0.525,0.22750391830481204
63,2,0.06286110508441925,0.5,0.525,1.6378314692775744
64,3,0.05776607757806778,0.619,0.655,0.5001757892492115
65,3,0.05776607757806778,0.619,0.655,0.2525477410600622
66,3,0.05776607757806778,0.619,0.655,1.0964955655196393
67,3,0.05776607757806778,0.619,0.655,0.18886122083288703
68,3,0.05776607757806778,0.619,0.655,0.05964332121511337
69,3,0.05776607757806778,0.619,0.655,0.531886064806811
70,3,0.05776607757806778,0.619,0.655,0.7048498638346308
71,3,0.05776607757806778,0.619,0.655,0.5084710069298422
72,3,0.05776607757806778,0.619,0.655,0.2878173531522386
73,3,0.05776607757806778,0.619,0.655,0.5931925423627031
74,3,0.05776607757806778,0.619,0.655,0.3725759254718201
75,3,0.05776607757806778,0.619,0.655,0.5379090071055768
76,3,0.05776607757806778,0.619,0.655,0.13820384289674578
77,3,0.05776607757806778,0.619,0.655,0.5354803297735238
78,3,0.05776607757806778,0.619,0.655,0.31006866171224756
79,3,0.05776607757806778,0.619,0.655,0.25652484679702714
80,3,0.05776607757806778,0.619,0.655,0.18015064368845074
81,3,0.05776607757806778,0.619,0.655,0.0641867336449233
82,3,0.05776607757806778,0.619,0.655,0.47393980381303585
83,3,0.05776607757806778,0.619,0.655,0.36005667263297103
84,3,0.05776607757806778,0.619,0.655,0.4127844162884482
85,3,0.05776607757806778,0.619,0.655,0.2391014857173151
86,3,0.05776607757806778,0.619,0.655,0.6064077737040099
87,3,0.05776607757806778,0.619,0.655,0.6712746856959334
88,3,0.05776607757806778,0.619,0.655,0.15701871840539391
89,3,0.05776607757806778,0.619,0.655,0.6674106753735328
90,3,0.05776607757806778,0.619,0.655,0.5927751451005486
91,3,0.05776607757806778,0.619,0.655,0.47489730837615124
92,3,0.05776607757806778,0.619,0.655,0.08553538011266539
93,3,0.05776607757806778,0.619,0.655,0.6366313340303491
94,3,0.05776607757806778,0.619,0.655,0.27696465272063053
95,3,0.05776607757806778,0.619,0.655,1.4185602852005799
96,4,0.05248672086000442,0.554,0.635,0.4939806669912862
97,4,0.05248672086000442,0.554,0.635,0.5365397272209723
98,4,0.05248672086000442,0.554,0.635,0.1854454202339456
99,4,0.05248672086000442,0.554,0.635,0.5484622460185247
100,4,0.05248672086000442,0.554,0.635,0.4661396935539714
101,4,0.05248672086000442,0.554,0.635,0.350658358249231
102,4,0.05248672086000442,0.554,0.635,0.396011166416647
103,4,0.05248672086000442,0.554,0.635,0.4066174049151383
104,4,0.05248672086000442,0.554,0.635,0.9444063589989562
105,4,0.05248672086000442,0.554,0.635,0.3919155835013936
106,4,0.05248672086000442,0.554,0.635,0.06621285173323913
107,4,0.05248672086000442,0.554,0.635,0.15497290423296745
108,4,0.05248672086000442,0.554,0.635,0.13272155421246548
109,4,0.05248672086000442,0.554,0.635,0.4351414911428456
110,4,0.05248672086000442,0.554,0.635,0.11777860917554546
111,4,0.05248672086000442,0.554,0.635,0.17675765403422272
112,4,0.05248672086000442,0.554,0.635,0.9190452189376257
113,4,0.05248672086000442,0.554,0.635,1.1086390057540738
114,4,0.05248672086000442,0.554,0.635,0.4310730795192527
115,4,0.05248672086000442,0.554,0.635,0.15134924764994706
116,4,0.05248672086000442,0.554,0.635,0.162594882428952
117,4,0.05248672086000442,0.554,0.635,0.14126803164418
118,4,0.05248672086000442,0.554,0.635,0.4904468401167749
119,4,0.05248672086000442,0.554,0.635,0.07409877981687864
120,4,0.05248672086000442,0.554,0.635,0.09270513730281761
121,4,0.05248672086000442,0.554,0.635,0.5621749967567158
122,4,0.05248672086000442,0.554,0.635,0.19034514172952
123,4,0.05248672086000442,0.554,0.635,0.7254491082583888
124,4,0.05248672086000442,0.554,0.635,0.16977981049706825
125,4,0.05248672086000442,0.554,0.635,0.4846413703894092
126,4,0.05248672086000442,0.554,0.635,0.10566662899761253
127,4,0.05248672086000442,0.554,0.635,0.31378151416179884
128,5,0.04620302802324295,0.568,0.635,0.06507430456037198
129,5,0.04620302802324295,0.568,0.635,0.06850407575788636
130,5,0.04620302802324295,0.568,0.635,0.0871762006772864
131,5,0.04620302802324295,0.568,0.635,0.2862350135550994
132,5,0.04620302802324295,0.568,0.635,0.2924675002596506
133,5,0.04620302802324295,0.568,0.635,0.453819611440025
134,5,0.04620302802324295,0.568,0.635,0.061953970156443224
135,5,0.04620302802324295,0.568,0.635,0.6621862511229543
136,5,0.04620302802324295,0.568,0.635,0.15055756555696456
137,5,0.04620302802324295,0.568,0.635,0.2947468210500693
138,5,0.04620302802324295,0.568,0.635,0.14537748797852731
